objective,train_n,p,n,N,mean_p,mean_p2,R_n,relative_se_mean,N_eff,top1_weight,top5_weight
median_rt,16,2,13,500,0.0035928639031393575,1.7522773895534813e-05,1.35744213015,0.0267373196168,368.339827457,0.00887684856296,0.0371201982001
median_rt,16,2,14,500,0.0023602405827502127,7.6434863751120802e-06,1.37207846725,0.0272792399912,364.410645553,0.00912033533827,0.0349031281385
median_rt,16,2,15,500,0.0013736208729724082,2.608440533434299e-06,1.38244281957,0.0276565659317,361.678611891,0.00764999174563,0.0326785243542
median_rt,16,2,16,500,0.00087999533739644906,1.1339807600389376e-06,1.46435017656,0.0304745853643,341.448383045,0.0126240417675,0.0450742206961
median_rt,16,2,17,500,0.00056212100721076633,4.4065884742632103e-07,1.3945781699,0.0280919265946,358.531354349,0.00826709758174,0.0374253721511
median_rt,16,2,18,500,0.00034903599581078294,1.6955733984688186e-07,1.39179784252,0.027992779159,359.247575132,0.00825983450186,0.0364202384998
median_rt,16,2,19,500,0.00021828342507231762,6.8137506661455737e-08,1.43002858327,0.0293267312625,349.643360873,0.00895267763516,0.0417783077029
median_rt,16,2,20,500,0.00013828946734622052,2.6184160391886817e-08,1.36917967924,0.0271727686936,365.182165337,0.00928976154886,0.0353098536155
median_rt,16,5,12,500,0.024963389619895384,0.00093707138563504867,1.50371511885,0.0317400415515,332.509791072,0.0104508420196,0.0421878062834
median_rt,16,5,13,500,0.017630868559435034,0.00045148205190296414,1.45242285657,0.0300806534693,344.252362691,0.00992742356714,0.037642895999
median_rt,16,5,14,500,0.012289556032672514,0.00022275143252107523,1.47485090024,0.0308172322001,339.017320272,0.00978119903425,0.0377442003017
median_rt,16,5,15,500,0.0077603060195500801,9.2392191099379531e-05,1.5341844322,0.0326859123231,325.906057647,0.008790847255,0.0383824629867
median_rt,16,5,16,500,0.0053716800800976735,4.7914614118699682e-05,1.66053378345,0.0363464931857,301.107996106,0.013651661328,0.0503154733044
median_rt,16,5,17,500,0.0036797812357125931,2.1463772823958566e-05,1.58511969499,0.0342087618892,315.433592541,0.0125534600806,0.0425357133144
median_rt,16,5,18,500,0.0024863855275507004,9.8932402039308509e-06,1.60030077376,0.034649697654,312.441266167,0.0097276195695,0.0438794934555
median_rt,16,5,19,500,0.0016379629199798126,4.4403158339080301e-06,1.65502946464,0.0361947362095,302.109425048,0.0121626357789,0.0499107192244
median_rt,16,5,20,500,0.001140112905621872,1.9997030983893973e-06,1.538401859,0.0328146875348,325.012607775,0.0108819272355,0.0400673053347
median_rt,16,10,12,500,0.073736644153331782,0.0088708685119385389,1.63154630905,0.0355400143232,306.457743325,0.0106667005555,0.0442192429694
median_rt,16,10,13,500,0.057288859025647454,0.0052643351153831563,1.6039956345,0.0347561687906,311.721546646,0.0121129010161,0.0421627894168
median_rt,16,10,14,500,0.042767362690662412,0.0029838798116441551,1.6313847066,0.0355354669758,306.488100556,0.00988923712169,0.0426969130442
median_rt,16,10,15,500,0.028829889134379786,0.0014165378495380879,1.7042850667,0.0375309223629,293.378150034,0.0115228831478,0.0452234188954
median_rt,16,10,16,500,0.02125584401512472,0.00085204735627669021,1.88584947205,0.0420915543085,265.132507875,0.0153452737964,0.0575088771425
median_rt,16,10,17,500,0.015731938209312672,0.00045118010330842022,1.82299499137,0.0405708020962,274.273929642,0.0114646719554,0.0502857752184
median_rt,16,10,18,500,0.011490289533197978,0.00024140003188409824,1.82841753948,0.0407042390786,273.460513916,0.0114961868115,0.0516630512869
median_rt,16,10,19,500,0.0079622952106245797,0.00011952840610216933,1.88536125248,0.0420799537187,265.201164679,0.01288626917,0.0562811890807
median_rt,16,10,20,500,0.0059868496644648501,6.4650623965211476e-05,1.80374863438,0.0400936063327,277.200487069,0.0130696489501,0.0479286276607
median_rt,16,20,12,500,0.16326537496951829,0.04255350138890357,1.59641985416,0.0345375116116,313.200815373,0.00857858081337,0.0389403924409
median_rt,16,20,13,500,0.13633361524448409,0.030243573459552163,1.62714854321,0.0354160569012,307.286020127,0.0102328828404,0.0397954356501
median_rt,16,20,14,500,0.10696515251741351,0.019191769887820571,1.67737589737,0.036806953076,298.084645657,0.00883480878854,0.0411287774661
median_rt,16,20,15,500,0.078237442522348072,0.010852519332735622,1.77296955129,0.0393184320972,282.012739382,0.0101589259016,0.0455411856018
median_rt,16,20,16,500,0.061129301601295906,0.0072011520998090548,1.92709496163,0.0430603056569,259.457893853,0.0132874942157,0.0566523316123
median_rt,16,20,17,500,0.047255118747153026,0.0043134445970916136,1.93164140748,0.043165759752,258.84721567,0.0131892187936,0.0544160140948
median_rt,16,20,18,500,0.037795450654058975,0.0027781593545736314,1.94481411167,0.0434698541904,257.093979831,0.0107071935753,0.0520497846761
median_rt,16,20,19,500,0.027414599664225648,0.0014821419316294897,1.97208657965,0.0440927789926,253.53856426,0.0117458228856,0.0520366564672
median_rt,16,20,20,500,0.022034363687464541,0.000986648562959697,2.03217666848,0.0454351552981,246.041600494,0.01390454382,0.0551799540318
median_rt,16,50,12,500,0.32525970801742521,0.15741986568737013,1.48798653731,0.0312405677705,336.02454556,0.00582802733667,0.0285727117001
median_rt,16,50,13,500,0.28847124909600075,0.12911953789597277,1.55162544506,0.0332152207597,322.242717528,0.00655508696758,0.0304095444643
median_rt,16,50,14,500,0.2406469708776458,0.09311151346965936,1.60783910482,0.0348665772572,310.976389678,0.00742363836464,0.0340063209031
median_rt,16,50,15,500,0.18866412434904364,0.063399763449824773,1.78118483556,0.0395268221732,280.712023828,0.0086985192127,0.0385662030177
median_rt,16,50,16,500,0.15780735280401839,0.047090431347903014,1.89094196139,0.0422123669412,264.418480424,0.00988126571548,0.0467934376834
median_rt,16,50,17,500,0.12875856799960558,0.031744722129407064,1.9147816372,0.042773394469,261.126381351,0.0107291620051,0.0476939478437
median_rt,16,50,18,500,0.1101079135781512,0.024026019012616372,1.98173121317,0.0443109741073,252.304649933,0.0103734818428,0.0481946821043
median_rt,16,50,19,500,0.085103236981870403,0.014675035525626811,2.02622188995,0.0453039046871,246.764681835,0.0106961746314,0.0499660853091
median_rt,16,50,20,500,0.0723335035104722,0.011287865331331465,2.15741064713,0.0481125897687,231.759308626,0.0128096942346,0.0536671995987
