label,beta,gamma,n,inv_n,log_abs_S_over_n,delta_n,numerical_uncertainty,im_log_S_over_n,e_saddle
gamma_minus_one,0.5434,-1.0,49,0.02040816326530612,-0.4776853075145763,-0.004210614788980105,0.0,6.11142826618027e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,50,0.02,-0.47760915520213,-0.004134462476533818,0.0,6.087468377378669e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,51,0.0196078431372549,-0.47753565727863007,-0.004060964553033897,0.0,6.064486792089049e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,52,0.019230769230769232,-0.47746468073365805,-0.003989988008061884,0.0,6.042425899658749e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,53,0.018867924528301886,-0.47739610099986096,-0.003921408274264793,0.0,6.021232437365196e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,54,0.018518518518518517,-0.4773298013259267,-0.0038551086003305035,0.0,6.000857096245336e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,55,0.01818181818181818,-0.47726567220037835,-0.0037909794747821857,0.0,5.981254168131523e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,56,0.017857142857142856,-0.477203610822105,-0.0037289180965088264,0.0,5.96238122906318e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,57,0.017543859649122806,-0.47714352061379256,-0.003668827888196391,0.0,5.944198854866025e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,58,0.017241379310344827,-0.47708531077468175,-0.003610618049085579,0.0,5.926670365226318e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,59,0.01694915254237288,-0.4770288958693392,-0.003554203143743051,0.0,5.909761593049261e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,60,0.016666666666666666,-0.4769741954493869,-0.0034995027237907372,0.0,5.893440676289439e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,61,0.01639344262295082,-0.47692113370537853,-0.0034464409797823614,0.0,5.877677869786186e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,62,0.016129032258064516,-0.4768696391462477,-0.0033949464206515234,0.0,5.862445374935745e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,63,0.015873015873015872,-0.47681964430396984,-0.003344951578373667,0.0,5.84771718529172e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,64,0.015625,-0.4767710854612838,-0.0032963927356876033,0.0,5.833468946411093e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,65,0.015384615384615385,-0.4767239024005074,-0.003249209674911213,0.0,5.819677828459814e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,66,0.015151515151515152,-0.4766780381716556,-0.0032033454460594357,0.0,5.806322410263601e-20,-0.47347469272559617
gamma_minus_one,0.5434,-1.0,67,0.014925373134328358,-0.47663343887822646,-0.0031587461526302874,0.0,5.793382573639634e-20,-0.47347469272559617
