saddle_id,beta,gamma,certified,box_radius,residual,jacobian_cond,re_phi,im_phi,det_hessian_re_phi,nearest_action_gap,matches_lambda_abs,matches_lambda_local,is_bm24_seed_saddle,z_real,z_imag,krawczyk_contraction,proof
37,0.5433996420760803,0.7487887432117251,True,1e-06,3.556112111387742e-14,757.1769672104587,-4.1099579720458355,-3.8766078777312076,4.0963750870355346e-50,0.007864865936479504,False,False,False,"[5.339284901847082, -0.8577474132459026, -5.779200332898227, -1.2913932138693378, -0.857747413245904, -4.452917972131817, -4.4183834012517055e-05, 1.8477413458821734]","[2.211604219718963, -2.27778538573927, 1.2523522937251553e-15, 2.384459339803572, 2.2777853857392665, 3.0145723221080263, -0.00013408869052454258, -5.363792074101177]",0.0006105165627381213,{}
38,0.5433996420760803,0.7487887432117251,True,1e-06,1.9646142254349632e-13,68.97345121855643,-3.086174295882923,0.2505376751329662,1.0043057268636566e-50,0.021545134486598005,False,False,False,"[5.33928490184709, -0.8577474132459035, -5.7792003328982275, -1.392555920886433, -0.8577474132459035, 0.29785959780511534, 1.231801844310093, -1.0683379891256177]","[2.211604219718962, -2.2777853857392696, 9.53692593591053e-16, 1.3556486319063883, 2.2777853857392696, -1.2366506512240285, -0.7025241883667732, 1.0755825370764247]",0.00016969317985865106,{}
39,0.5433996420760803,0.7487887432117251,True,1e-06,1.8127246968480819e-12,87.52258605591284,-4.401415711529384,1.8987089322557038,-2.1392330978573714e-49,0.013534118704723319,False,False,False,"[5.339284901847092, -0.8577474132459014, -5.779200332898233, 2.0268710924143125, -0.8577474132459046, 1.1541138409105653, -2.3384236741261706, -0.6611148853818277]","[2.211604219718967, -2.277785385739268, -3.849607885200554e-15, 1.6809729698605815, 2.2777853857392665, -1.5971151089648945, -0.7247678936253154, 0.8848639997611237]",0.00010278238754423037,{}
40,0.5433996420760803,0.7487887432117251,True,1e-06,1.1484982514925434e-14,60.16605681369989,-2.1448946319868796,5.692341580991474,1.881757151671184e-51,0.04638711247340499,False,False,False,"[5.339284901847083, -0.8577474132459025, -5.779200332898219, 1.1870731188538854, -0.8577474132458991, 2.527488257417855, -2.617280458011185, 0.1297194731856882]","[2.2116042197189576, -2.2777853857392647, 7.620918597375373e-15, -0.2957250881595197, 2.2777853857392643, -2.882972492993754, -0.11519988041288391, 0.9190210517571538]",0.00010255103283997122,{}
41,0.5433996420760803,0.7487887432117251,True,1e-06,2.4790014761595594e-13,63.309870311169384,-4.222166706182424,-1.37776169975469,7.198072385382404e-49,0.012588096433805873,False,False,False,"[5.339284901847093, -0.8577474132459021, -5.779200332898227, -1.6814270368191506, -0.8577474132459049, -0.33625291208882174, 0.7124201192096729, -0.3677043804998759]","[2.2116042197189656, -2.2777853857392705, -2.0085395200806494e-15, 1.3569466567351174, 2.2777853857392683, -0.9200921679085557, -0.7009007585698206, 1.0125529456928015]",0.00013763709960995616,{}
42,0.5433996420760803,0.7487887432117251,True,1e-06,2.671424907670936e-12,145.63332437215598,-3.107719430369521,5.289982528374438,-4.386815701542021e-49,0.021545134486598005,False,False,False,"[5.3392849018470825, -0.8577474132459031, -5.779200332898224, -2.2386224801345698, -0.8577474132459022, -0.007719063380863719, -2.3627626041137133, 1.778746302552529]","[2.211604219718965, -2.2777853857392647, -4.57164959881921e-17, -1.3374212943448136, 2.277785385739265, 0.004450221877967156, -3.915682765959085, 1.37740151189952]",0.00026089729683941455,{}
43,0.5433996420760803,0.7487887432117251,True,1e-06,1.0614103731680587e-14,26.767899281780902,-0.19903656753765378,9.933130263941632e-17,-3.600078846904885e-57,0.008975746774215726,False,False,False,"[5.339284901847086, -0.8577474132459029, -5.7792003328982275, -0.5338851142437975, -0.8577474132459023, 2.0742625097176295, -0.5338851142438021, -0.5527309634844841]","[2.2116042197189665, -2.277785385739266, 1.1479849206596107e-22, 0.6572424512233161, 2.277785385739265, 0.8591876634470945, -0.657242451223317, 4.2878828271815113e-16]",3.301810929252676e-05,{}
44,0.5433996420760803,0.7487887432117251,True,1e-06,1.6503998331275775e-14,22.74602228178072,0.4379284878073444,-0.9436453755029908,3.7244400877211616e-51,0.21332354121468833,False,False,False,"[5.339284901847086, -0.8577474132459019, -5.7792003328982275, 0.031457300040216685, -0.8577474132459023, 0.49085921526885445, -1.5648810493329302, -0.007624350709709549]","[2.2116042197189665, -2.2777853857392656, -1.6555222241402952e-15, -2.5203166063918148, 2.277785385739265, 4.089609050323816, 0.014154745709549553, 1.3391223567358055]",5.274282683516802e-05,{}
45,0.5433996420760803,0.7487887432117251,True,1e-06,8.436766788595395e-15,32.24248928482461,1.0530184690364082,-0.10630922662887388,1.8121950343723435e-52,0.006724391583572631,False,False,False,"[5.3392849018470905, -0.8577474132458998, -5.7792003328982275, -0.22947108787356468, -0.8577474132459044, 0.13618920943102816, 0.6729823205475114, -0.4099601325096859]","[2.2116042197189705, -2.277785385739264, -5.055716937948667e-15, -0.5316792313282821, 2.2777853857392687, -0.009309120662776092, 4.007680674757394, 0.27438270626006817]",5.594989007262194e-05,{}
46,0.5433996420760803,0.7487887432117251,True,1e-06,1.0452618589287095e-14,66.93649746850153,-4.117822837982315,-3.268711669727676,-9.325218355143903e-49,0.007864865936479504,False,False,False,"[5.339284901847094, -0.8577474132459019, -5.779200332898233, -2.510826049121775, -0.8577474132459035, 0.0016027219131150266, -0.5334702282666473, -0.019000123636700204]","[2.211604219718966, -2.2777853857392656, -4.0073516999938623e-16, 2.064799770877157, 2.2777853857392696, -0.00020613328978768042, 0.5157445673416489, 0.21968847702288738]",4.870031714639845e-05,{}
