gamma,competitor_index,classification,re_phi_m,im_phi_m,im_mod_abs,full_conv2_exponent,lambda_exact_interp,abs_gap_to_exact,signed_re_gap_vs_seed,z_distance_from_seed,physically_feasible,impossible_if_physical,strict_exact_match,loose_exact_match,near_real_phase,high_re_bad_match
-0.3,84,physical_feasible_but_not_explanatory,-3.924944599783819,-0.5808333665492478,0.580833366549248,-4.614553974783819,-0.5576450530090665,4.0569089217747525,-4.06346858516805,3.414234444590295,True,False,False,False,False,False
-0.3,85,physical_feasible_but_not_explanatory,-4.99306156959009,2.908357842583033,2.908357842583033,-5.68267094459009,-0.5576450530090665,5.125025891581023,-5.131585554974321,3.0421187036242543,True,False,False,False,False,False
-0.3,86,physical_feasible_but_not_explanatory,-4.993061569590086,-2.908357842583032,2.908357842583032,-5.682670944590086,-0.5576450530090665,5.12502589158102,-5.1315855549743175,3.0421187036241566,True,False,False,False,False,False
-0.6,0,physical_feasible_but_not_explanatory,-1.5037089016305858,-5.3778398478075315,0.9053454593720547,-2.1933182766305857,-0.49039039325750927,1.7029278833730763,-1.7122894548247949,3.8038096751101103,True,False,False,False,False,False
-0.6,1,physical_feasible_but_not_explanatory,-0.14334637693227825,-6.654143980606987,0.37095867342740085,-0.8329557519322782,-0.49039039325750927,0.34256535867476895,-0.35192693012648735,5.115557635931667,True,False,False,False,False,False
-0.6,2,physical_feasible_but_not_explanatory,-2.7233632760719373,0.19066229440963212,0.19066229440963234,-3.412972651071937,-0.49039039325750927,2.922582257814428,-2.9319438292661464,5.075060005462767,True,False,False,False,False,False
-0.6,3,physical_feasible_but_not_explanatory,-0.10362535721730415,-0.11195882199814414,0.11195882199814422,-0.7932347322173041,-0.49039039325750927,0.30284433895979485,-0.31220591041151324,2.045721290616576,True,False,False,False,False,False
-0.6,4,physical_feasible_but_not_explanatory,0.05110362195712537,0.48553393260350697,0.4855339326035071,-0.6385057530428746,-0.49039039325750927,0.14811535978536533,-0.15747693123708373,2.963498828587826,True,False,False,False,False,False
-0.6,5,physical_feasible_but_not_explanatory,-0.4913646623372778,0.8436400583422052,0.8436400583422055,-1.1809740373372777,-0.49039039325750927,0.6905836440797684,-0.6999452155314869,3.2304841270268456,True,False,False,False,False,False
-0.6,6,physical_feasible_but_not_explanatory,-0.10362535721730598,0.11195882199814386,0.11195882199814378,-0.7932347322173059,-0.49039039325750927,0.3028443389597966,-0.3122059104115151,2.0457212906165916,True,False,False,False,False,False
-0.6,7,physical_feasible_but_not_explanatory,-1.2260381373641098,-5.343264964955356,0.9399203422242302,-1.9156475123641097,-0.49039039325750927,1.4252571191066004,-1.434618690558319,4.459590863013417,True,False,False,False,False,False
-0.6,8,physical_feasible_but_not_explanatory,-1.5648938698094934,-0.7083056384417601,0.7083056384417601,-2.2545032448094933,-0.49039039325750927,1.764112851551984,-1.7734744230037025,3.7445362955431145,True,False,False,False,False,False
-0.6,9,physical_feasible_but_not_explanatory,-4.480408251417145,-2.0170301673368187,2.0170301673368187,-5.1700176264171445,-0.49039039325750927,4.679627233159636,-4.688988804611354,4.024757192604378,True,False,False,False,False,False
-0.6,10,physical_feasible_but_not_explanatory,-3.3185143741378704,-4.243668300379116,2.0395170068004704,-4.00812374913787,-0.49039039325750927,3.517733355880361,-3.5270949273320795,4.795307746608158,True,False,False,False,False,False
-0.6,11,physical_feasible_but_not_explanatory,-2.282079926085671,5.873513939036665,0.40967136814292004,-2.9716893010856706,-0.49039039325750927,2.4812989078281613,-2.49066047927988,4.041197340395633,True,False,False,False,False,False
-0.6,12,physical_feasible_but_not_explanatory,-0.40120880174934204,-0.10492956991718803,0.10492956991718794,-1.090818176749342,-0.49039039325750927,0.6004277834918326,-0.6097893549435511,2.2530219453318048,True,False,False,False,False,False
