gamma,re_phi_m,full_conv2_exponent,lambda_exact_interp,abs_gap_to_exact,seed_full_interp,seed_abs_gap_to_exact,delta_re_vs_seed,re43_minus_re46,im43_plus_im46,mean_im_mod_abs,physically_feasible
-2.665,-2.132194104166596e-05,-0.6896306969410417,-0.6917261046602227,0.0020954077191809306,-1.0571448494723168,0.36541874481209413,0.3675141525312752,5.292134101261836e-06,1.926232617336445e-15,1.1102230246251565e-15,True
-2.705,-3.840942551399003e-05,-0.6896477844255141,-0.6916146072673287,0.001966822841814597,-1.0795622878275681,0.3879476805602394,0.3899145034020543,3.3391729650188162e-06,-1.190190899850423e-15,6.661338147750939e-16,True
-2.725,-4.4291160836058135e-05,-0.6896536661608361,-0.6915574901434132,0.0019038239825770464,-1.0908413565127586,0.39928386636934543,0.4011876903519227,-2.5572073361762593e-06,4.81470969151519e-16,6.661338147750939e-16,True
-2.745,-4.872102817081794e-05,-0.6896580960281709,-0.6914998878917542,0.001841791863583353,-1.102164719963641,0.41066483207188686,0.41250662393547033,1.8856351332377508e-06,-2.4371937514434133e-15,1.3322676295501878e-15,True
-2.775,-5.30917799126205e-05,-0.6896624667799127,-0.6914131673299345,0.0017507005500217998,-1.1192286073145248,0.42781543998459026,0.4295661405346124,1.057864841103734e-06,-1.0553659392037005e-17,4.440892098500626e-16,True
-2.835,-5.5726556728348184e-05,-0.6896651015567284,-0.6912413316806563,0.0015762301239278242,-1.1536167785867473,0.462375446906091,0.463951677030019,8.195539676417174e-08,6.730846858684385e-16,6.661338147750939e-16,True
-2.9050000000000002,-5.235459197499431e-05,-0.689661729591975,-0.691048612748502,0.001386883156527019,-1.194118858569757,0.503070245821255,0.5044571289777823,-7.950028746810112e-07,-3.9093944734190756e-15,1.9984014443252818e-15,True
-2.975,-4.557318034254009e-05,-0.6896549481803427,-0.6908687581105121,0.001213809930169396,-1.2349589507384526,0.5440901926279406,0.5453040025581102,-1.0908768536465815e-06,-1.582216985736993e-15,6.661338147750939e-16,True
-2.995,-4.3355145509708145e-05,-0.6896527301455098,-0.6908201437145185,0.001167413569008735,-1.2466789880583986,0.5558588443438801,0.557026257912889,-1.1249248922937452e-06,2.047410535630037e-15,1.1102230246251565e-15,True
-3.025,-3.994150711800811e-05,-0.6896493165071181,-0.6907496821451113,0.0011003656379932059,-1.2642953658569756,0.5735456837118642,0.5746460493498576,-1.1460348460258507e-06,-8.156296926487763e-16,6.661338147750939e-16,True
