beta,Gamma,gamma,gamma_AS,region,lambda_abs_100,seed_re_phi,comp_re_phi,phi_pref_conv2,seed_full_exponent,comp_full_exponent,seed_error_full_minus_lambda,comp_error_full_minus_lambda,seed_residual_inf,comp_residual_inf,comp_certified
0.5,1.9,-1.9,1.816796875,outside_abs_gamma_gt_gamma_AS,-0.677739994079024,-0.011427493111688225,0.010049581095914695,-0.689609375,-0.7010368681116882,-0.6795597939040853,-0.023296874032664228,-0.0018197998250613079,5.0242958677880805e-15,5.00155472593633e-14,True
0.5,1.95,-1.95,1.816796875,outside_abs_gamma_gt_gamma_AS,-0.6820951707280328,-0.030399606531359424,0.0070184026329553895,-0.689609375,-0.7200089815313594,-0.6825909723670446,-0.037913810803326564,-0.0004958016390117503,9.441466109136565e-15,5.329070518200751e-15,True
0.5,2.0,-2.0,1.816796875,outside_abs_gamma_gt_gamma_AS,-0.6849129780618091,-0.05049972064764274,0.004815572558218517,-0.689609375,-0.7401090956476427,-0.6847938024417815,-0.05519611758583365,0.00011917562002761173,5.178925639311149e-15,5.329070518200751e-15,True
0.5,2.05,-2.05,1.816796875,outside_abs_gamma_gt_gamma_AS,-0.686828271962007,-0.07158428532570849,0.0032043649920374118,-0.689609375,-0.7611936603257085,-0.6864050100079626,-0.07436538836370143,0.00042326195404440714,1.3322676295501878e-14,7.993605777301127e-15,True
0.5,2.1,-2.1,1.816796875,outside_abs_gamma_gt_gamma_AS,-0.6881622727012711,-0.09354899211806167,0.0020286534079318463,-0.689609375,-0.7831583671180616,-0.6875807215920682,-0.09499609441679058,0.0005815511092028824,5.617333549722722e-15,8.533500000699278e-14,True
0.5433996421,1.0,-1.0,1.8332031249999998,inside_abs_gamma_lt_gamma_AS,-0.4756371413805523,0.21613463946567935,0.11724347266901339,-0.689609375,-0.4734747355343206,-0.5723659023309866,0.002162405846231674,-0.09672876095043431,5.329070518201092e-15,8.881784197001252e-15,True
0.5433996421,1.3,-1.3,1.8332031249999998,inside_abs_gamma_lt_gamma_AS,-0.5181242853312322,0.17335282991719547,0.09805126036391831,-0.689609375,-0.5162565450828045,-0.5915581146360817,0.0018677402484277295,-0.07343382930484943,6.050715484207103e-15,5.995204332975845e-15,True
0.5433996421,1.5,-1.5,1.8332031249999998,inside_abs_gamma_lt_gamma_AS,-0.5649601336179731,0.12607542069144584,0.07606004545403422,-0.689609375,-0.5635339543085541,-0.6135493295459657,0.0014261793094190178,-0.0485891959279926,8.881784197001252e-15,4.884981308350689e-15,True
0.5433996421,1.6,-1.6,1.8332031249999998,inside_abs_gamma_lt_gamma_AS,-0.5928728664207294,0.09762496871458315,0.06207887037188198,-0.689609375,-0.5919844062854168,-0.627530504628118,0.0008884601353126298,-0.03465763820738854,1.5850936827610294e-14,3.885780586188048e-15,True
0.5433996421,1.7,-1.7,1.8332031249999998,inside_abs_gamma_lt_gamma_AS,-0.6227832064358142,0.0664200118437015,0.04602400199197598,-0.689609375,-0.6231893631562985,-0.643585373008024,-0.0004061567204842742,-0.02080216657220979,1.043790481629268e-14,5.329070518200751e-15,True
0.5433996421,1.75,-1.75,1.8332031249999998,inside_abs_gamma_lt_gamma_AS,-0.6378172375363307,0.049941961090229636,0.03718308643328583,-0.689609375,-0.6396674139097703,-0.6524262885667141,-0.0018501763734396492,-0.014609051030383458,3.956274724438741e-14,5.329070518200751e-15,True
0.5433996421,1.8,-1.8,1.8332031249999998,inside_abs_gamma_lt_gamma_AS,-0.6519641927815433,0.033028339467374934,0.02775168150925933,-0.689609375,-0.656581035532625,-0.6618576934907406,-0.004616842751081762,-0.009893500709197367,4.813252173637169e-15,6.217248937900877e-15,True
0.5433996421,1.825,-1.825,1.8332031249999998,inside_abs_gamma_lt_gamma_AS,-0.6582965034599667,0.02448419375221844,0.02285574049614203,-0.689609375,-0.6651251812477815,-0.6667536345038579,-0.006828677787814819,-0.00845713104389123,5.617333549722722e-15,5.329070518200751e-15,True
0.5433996421,1.85,-1.85,1.8332031249999998,outside_abs_gamma_gt_gamma_AS,-0.6638869072384339,0.01593248793911073,0.019243190453911208,-0.689609375,-0.6736768870608892,-0.6703661845460888,-0.00978997982245533,-0.0064792773076548515,5.178925639311149e-15,0.0,True
0.5433996421,1.875,-1.875,1.8332031249999998,outside_abs_gamma_gt_gamma_AS,-0.6686138720369089,0.007751919614465308,0.016425620714253353,-0.689609375,-0.6818574553855347,-0.6731837542857466,-0.013243583348625743,-0.004569882248837698,6.6018607235733855e-15,4.440892098500626e-15,True
0.5433996421,1.9,-1.9,1.8332031249999998,outside_abs_gamma_gt_gamma_AS,-0.6724668034251918,-0.0008989692835741359,0.014099270608312287,-0.689609375,-0.6905083442835741,-0.6755101043916877,-0.018041540858382277,-0.0030433009664958544,5.378563221515803e-15,2.220446049250313e-15,True
0.5433996421,1.95,-1.95,1.8332031249999998,outside_abs_gamma_gt_gamma_AS,-0.6779843253081687,-0.01926136560693914,0.010462483377231768,-0.689609375,-0.7088707406069391,-0.6791468916227682,-0.030886415298770453,-0.0011625663145995446,8.887070559505145e-15,4.440892098500626e-15,True
